Region,Destination_Name,Destination_Type,Total_Days,Total_Persons,Budget_Per_Person
Northeast,Tawang,Adventure,5,7,31322
West,Mumbai,Historical,12,7,6094
West,Mumbai,Desert,4,11,14704
Northeast,Tawang,Beach,3,9,29698
West,Jaisalmer,Religious,10,2,29079
South,Hampi,Desert,13,12,44880
South,Alleppey,Historical,3,5,49091
West,Rann of Kutch,Trekking,11,2,53786
South,Ooty,Beach,10,10,46235
Northeast,Cherrapunji,Urban/City,7,11,59916
South,Coorg,Urban/City,13,5,9512
South,Hampi,Religious,12,10,40542
West,Mumbai,Hidden Gem,5,3,58996
South,Goa,Adventure,5,12,56325
North,Rishikesh,Beach,7,3,59622
South,Coorg,Urban/City,4,2,54246
South,Pondicherry,Beach,7,8,44141
East,Konark,Hill Station,15,7,37690
North,Kullu,Trekking,7,6,32798
Central,Gwalior,Wildlife,2,6,51061
Northeast,Aizawl,Hidden Gem,11,12,6929
North,Manali,Beach,8,6,51074
Central,Gwalior,Adventure,15,12,26061
East,Bodh Gaya,Religious,14,8,23891
Central,Indore,Historical,9,9,28727
North,Agra,Beach,2,6,34826
Central,Pachmarhi,Hidden Gem,9,9,21157
Central,Kanha National Park,Hill Station,11,1,37869
Northeast,Aizawl,Wildlife,14,4,39810
North,Varanasi,Historical,15,2,18837
Northeast,Imphal,Beach,3,9,40470
East,Puri,Hidden Gem,6,9,18188
Northeast,Shillong Peak,Wildlife,11,10,57909
West,Gir National Park,Adventure,14,4,7893
East,Darjeeling,Hill Station,10,4,8736
South,Kodaikanal,Wildlife,4,9,7594
West,Gir National Park,Desert,9,7,50117
Northeast,Kaziranga,Urban/City,7,3,32998
Central,Pachmarhi,Desert,10,9,28079
North,Kullu,Hill Station,10,6,6964
North,Jaipur,Hill Station,11,7,13609
North,Agra,Trekking,5,12,31538
North,Shimla,Religious,6,4,15296
North,Agra,Religious,5,7,4794
North,Agra,Historical,12,11,42951
North,Kullu,Hill Station,5,12,43498
South,Hampi,Historical,15,2,20144
South,Alleppey,Desert,3,2,17390
Northeast,Majuli,Urban/City,3,8,37325
Northeast,Ziro Valley,Wildlife,15,8,10131
North,Leh,Hill Station,11,5,19497
West,Somnath,Historical,2,4,19528
East,Gangtok,Religious,6,6,13936
South,Ooty,Historical,9,1,14383
East,Guwahati,Beach,7,11,37090
South,Coorg,Wildlife,8,2,20518
East,Guwahati,Religious,9,4,20560
North,Agra,Wildlife,11,4,40752
West,Somnath,Religious,11,11,20835
East,Kolkata,Hill Station,3,7,51048
South,Goa,Historical,4,10,20983
East,Konark,Adventure,5,4,20670
North,Jaipur,Beach,9,1,7138
East,Darjeeling,Hill Station,15,3,13660
Central,Pachmarhi,Wildlife,3,11,29335
Northeast,Majuli,Beach,5,11,24905
Central,Kanha National Park,Urban/City,3,11,53034
South,Kodaikanal,Trekking,12,12,22042
North,Nainital,Desert,9,2,15745
Northeast,Ziro Valley,Hidden Gem,3,5,29622
South,Goa,Beach,3,3,39305
Northeast,Kaziranga,Hidden Gem,7,1,30041
East,Sundarbans,Historical,6,12,55310
South,Alleppey,Historical,13,7,59624
Northeast,Imphal,Hidden Gem,6,2,38816
East,Shillong,Historical,5,8,21827
North,Shimla,Adventure,8,4,21778
Northeast,Imphal,Religious,12,8,46312
West,Jaisalmer,Hill Station,4,7,6522
South,Ooty,Historical,15,4,16031
West,Mumbai,Historical,4,2,32899
Northeast,Shillong Peak,Urban/City,11,9,23584
North,Rishikesh,Wildlife,12,1,33219
South,Goa,Trekking,2,6,28356
East,Guwahati,Urban/City,7,12,17688
East,Konark,Desert,3,5,21237
Central,Pachmarhi,Religious,8,12,4273
East,Guwahati,Urban/City,3,4,42880
Northeast,Imphal,Historical,13,6,28360
South,Goa,Wildlife,11,1,9109
Central,Sanchi,Urban/City,11,9,12827
Northeast,Cherrapunji,Adventure,13,4,58511
South,Alleppey,Religious,2,3,57177
Northeast,Cherrapunji,Hill Station,4,2,12789
Northeast,Dzukou Valley,Trekking,15,10,32420
West,Rann of Kutch,Wildlife,8,9,50389
Central,Pachmarhi,Urban/City,8,2,59641
South,Goa,Religious,13,2,21349
West,Jaisalmer,Desert,8,10,43611
West,Jaisalmer,Hill Station,8,5,18668
East,Shillong,Wildlife,14,8,28575
Northeast,Shillong Peak,Religious,2,7,9062
South,Goa,Wildlife,3,2,16824
East,Guwahati,Historical,3,7,7354
Northeast,Imphal,Beach,9,5,4187
West,Dwarka,Religious,6,6,32604
West,Somnath,Wildlife,2,6,48361
Central,Indore,Trekking,8,3,12682
Central,Kanha National Park,Wildlife,9,10,49348
South,Munnar,Religious,7,2,50008
South,Hampi,Desert,4,12,40914
North,Leh,Trekking,5,4,55961
Central,Indore,Desert,8,10,47580
South,Goa,Hidden Gem,3,9,47009
West,Somnath,Historical,2,9,28455
West,Udaipur,Trekking,7,3,23820
North,Leh,Wildlife,15,12,17107
Central,Bhopal,Wildlife,10,8,24450
South,Coorg,Beach,8,4,53236
Northeast,Ziro Valley,Hill Station,5,12,28527
West,Jaisalmer,Hill Station,2,10,14756
South,Goa,Hill Station,9,3,40616
East,Shillong,Historical,10,4,9967
North,Leh,Historical,9,7,22078
North,Nainital,Desert,7,6,24474
West,Udaipur,Trekking,13,12,48575
East,Puri,Urban/City,4,8,42427
West,Somnath,Trekking,4,8,15146
South,Ooty,Historical,6,10,44592
Northeast,Ziro Valley,Beach,6,7,24391
West,Rann of Kutch,Religious,10,1,18343
Northeast,Kaziranga,Religious,8,4,7776
Central,Kanha National Park,Trekking,9,2,38403
West,Mount Abu,Desert,12,2,6015
Central,Indore,Trekking,5,9,53227
East,Puri,Beach,5,9,34456
North,Agra,Adventure,12,5,38858
Northeast,Tawang,Hidden Gem,4,5,32221
Central,Khajuraho,Historical,3,9,54062
East,Puri,Trekking,9,8,29988
South,Alleppey,Wildlife,5,1,20830
West,Udaipur,Wildlife,6,11,43857
North,Leh,Trekking,7,6,8207
North,Kullu,Trekking,3,4,28391
Northeast,Kaziranga,Religious,11,4,4560
South,Kochi,Hidden Gem,4,11,6159
South,Ooty,Adventure,10,12,30066
East,Puri,Adventure,10,5,33994
North,Agra,Desert,2,3,49174
Northeast,Dzukou Valley,Desert,5,5,41329
North,Jaipur,Beach,9,2,50590
South,Pondicherry,Hill Station,10,9,57512
East,Shillong,Hill Station,6,1,31666
North,Manali,Desert,11,2,13583
Northeast,Cherrapunji,Hill Station,13,7,11145
Northeast,Majuli,Hidden Gem,9,8,34537
South,Munnar,Religious,5,12,46264
Central,Gwalior,Adventure,2,4,12142
East,Darjeeling,Hill Station,10,10,35019
North,Dalhousie,Hill Station,6,1,13302
South,Mysore,Religious,9,9,12245
West,Jaisalmer,Hill Station,2,12,50904
East,Bodh Gaya,Hidden Gem,2,6,32543
East,Kolkata,Urban/City,13,10,48493
South,Pondicherry,Urban/City,13,1,26381
South,Coorg,Beach,6,1,23977
Central,Sanchi,Wildlife,4,9,20734
North,Varanasi,Hidden Gem,11,7,19075
North,Kullu,Wildlife,14,8,27684
Northeast,Imphal,Hidden Gem,3,3,44967
North,Dalhousie,Beach,4,11,16878
South,Coorg,Religious,2,7,23629
Northeast,Majuli,Hill Station,10,12,34808
Northeast,Ziro Valley,Wildlife,3,3,7046
North,Kullu,Hidden Gem,11,6,20257
East,Shillong,Adventure,13,12,57580
South,Ooty,Urban/City,4,3,38115
West,Mount Abu,Hidden Gem,3,7,47402
North,Jaipur,Wildlife,9,11,31253
Central,Gwalior,Beach,3,12,40092
West,Gir National Park,Historical,5,11,51959
Central,Bandhavgarh,Hill Station,7,8,26770
South,Coorg,Religious,8,11,13296
North,Agra,Trekking,6,7,33428
North,Agra,Trekking,8,12,27359
West,Udaipur,Hidden Gem,3,4,52487
Northeast,Shillong Peak,Wildlife,10,11,50306
North,Rishikesh,Hidden Gem,3,7,6954
West,Mount Abu,Wildlife,5,10,10292
Northeast,Tawang,Hidden Gem,5,11,21991
North,Varanasi,Hill Station,14,7,42609
East,Puri,Religious,8,11,6855
Northeast,Ziro Valley,Wildlife,8,1,50355
East,Bodh Gaya,Hidden Gem,3,7,55522
East,Kolkata,Wildlife,8,9,8960
South,Kodaikanal,Desert,4,9,17959
Central,Kanha National Park,Trekking,3,5,21621
East,Shillong,Wildlife,3,6,18587
South,Munnar,Beach,14,3,32282
South,Goa,Hidden Gem,8,10,24444
Northeast,Majuli,Adventure,13,5,43392
North,Jaipur,Hill Station,11,9,40844
North,Shimla,Desert,13,11,57061
Central,Khajuraho,Beach,7,3,51861
Northeast,Cherrapunji,Religious,4,12,46490
Northeast,Tawang,Trekking,13,12,13907
North,Agra,Beach,10,12,21976
West,Rann of Kutch,Beach,3,4,42671
Northeast,Shillong Peak,Historical,12,2,32573
West,Mumbai,Hidden Gem,12,8,20079
Central,Indore,Historical,3,7,38833
East,Sundarbans,Hill Station,12,6,18422
East,Konark,Historical,5,9,13256
East,Guwahati,Urban/City,2,1,20265
West,Jaisalmer,Hill Station,6,12,54398
North,Varanasi,Urban/City,3,11,32774
North,Kullu,Trekking,15,12,14505
East,Darjeeling,Adventure,9,10,28252
North,Varanasi,Religious,15,6,21628
Northeast,Ziro Valley,Religious,9,2,15237
Northeast,Shillong Peak,Wildlife,11,2,4197
South,Ooty,Beach,13,11,37754
Central,Bandhavgarh,Wildlife,8,5,35627
Northeast,Dzukou Valley,Beach,6,7,40828
South,Pondicherry,Trekking,7,2,9499
East,Konark,Urban/City,15,5,40296
Northeast,Aizawl,Historical,4,2,44620
East,Shillong,Desert,3,12,6572
West,Mumbai,Beach,13,2,51756
Northeast,Ziro Valley,Religious,8,11,6166
South,Kochi,Urban/City,5,2,54210
Central,Indore,Urban/City,14,7,23819
Central,Sanchi,Trekking,8,10,23046
South,Hampi,Desert,3,7,43722
East,Shillong,Hidden Gem,15,2,13160
East,Sundarbans,Urban/City,5,5,9819
South,Munnar,Hill Station,12,12,50720
North,Kullu,Historical,7,5,8192
East,Shillong,Hidden Gem,3,2,44170
Northeast,Tawang,Hidden Gem,2,10,46206
South,Kochi,Hidden Gem,8,9,42055
East,Shillong,Trekking,10,8,19950
North,Kullu,Hidden Gem,4,9,12966
West,Somnath,Hill Station,13,4,59546
North,Agra,Beach,7,7,48148
North,Leh,Urban/City,14,10,35067
South,Alleppey,Hill Station,14,8,31883
East,Kolkata,Wildlife,7,5,24040
South,Goa,Trekking,10,9,4890
North,Nainital,Adventure,10,10,20542
Northeast,Shillong Peak,Desert,14,11,20194
East,Puri,Adventure,2,10,5299
North,Shimla,Wildlife,3,2,39877
West,Dwarka,Hill Station,6,12,13171
West,Mumbai,Hill Station,13,8,53983
Northeast,Aizawl,Religious,13,3,54434
North,Agra,Hill Station,5,7,7216
Central,Bandhavgarh,Urban/City,9,10,3856
South,Hampi,Religious,4,12,49426
North,Agra,Religious,12,10,29624
West,Gir National Park,Desert,15,12,27321
Northeast,Aizawl,Hidden Gem,4,10,19171
Northeast,Kaziranga,Historical,14,4,6649
Central,Gwalior,Adventure,15,11,36653
Northeast,Imphal,Hidden Gem,4,9,57877
Central,Gwalior,Religious,11,10,8792
Central,Bandhavgarh,Desert,5,9,6487
East,Darjeeling,Trekking,12,10,8308
North,Nainital,Trekking,7,7,18829
Central,Sanchi,Historical,8,11,35417
North,Nainital,Beach,10,4,59369
Central,Khajuraho,Hill Station,11,6,20773
West,Mount Abu,Religious,13,5,57597
East,Gangtok,Hidden Gem,7,11,33337
Northeast,Dzukou Valley,Wildlife,7,1,42499
Central,Gwalior,Religious,10,12,58475
Central,Indore,Desert,3,5,14083
Northeast,Ziro Valley,Hill Station,9,12,19762
South,Goa,Hidden Gem,5,4,45487
North,Agra,Wildlife,3,10,54682
Central,Indore,Religious,3,7,15162
East,Puri,Historical,14,11,12256
East,Kolkata,Wildlife,2,6,48108
East,Darjeeling,Wildlife,5,9,12007
South,Alleppey,Trekking,13,7,54600
Central,Khajuraho,Religious,13,6,4156
Northeast,Shillong Peak,Hill Station,14,12,33278
East,Gangtok,Wildlife,4,9,48809
Northeast,Tawang,Trekking,3,11,49846
Central,Khajuraho,Trekking,13,7,3424
Northeast,Imphal,Trekking,14,4,56268
Northeast,Dzukou Valley,Desert,10,10,4197
North,Kullu,Wildlife,5,12,28288
North,Agra,Trekking,15,4,58877
East,Konark,Desert,10,7,30043
Central,Kanha National Park,Hill Station,14,11,38276
East,Guwahati,Trekking,4,6,42774
Northeast,Tawang,Hill Station,3,9,44437
South,Kodaikanal,Hidden Gem,10,5,18883
Northeast,Kaziranga,Desert,15,3,27776
East,Guwahati,Adventure,7,12,33269
Northeast,Dzukou Valley,Beach,13,7,4078
South,Mysore,Trekking,11,2,31496
South,Coorg,Hidden Gem,11,4,6270
Northeast,Shillong Peak,Beach,6,11,32154
South,Pondicherry,Wildlife,2,4,52462
West,Somnath,Urban/City,11,3,4213
Northeast,Shillong Peak,Beach,13,6,38644
East,Darjeeling,Religious,10,4,42172
Northeast,Kaziranga,Religious,14,8,38451
South,Mysore,Hidden Gem,5,9,33392
Central,Indore,Religious,5,5,39828
South,Pondicherry,Urban/City,14,12,29603
North,Jaipur,Adventure,6,9,11666
Central,Bandhavgarh,Religious,3,12,28553
South,Alleppey,Urban/City,5,6,20460
Central,Gwalior,Religious,5,1,20871
Northeast,Tawang,Hidden Gem,9,10,38788
East,Sundarbans,Hidden Gem,13,4,59226
East,Guwahati,Urban/City,7,10,4642
East,Sundarbans,Trekking,8,2,51441
South,Hampi,Desert,7,1,21925
North,Dalhousie,Desert,9,11,55634
Central,Bhopal,Historical,15,6,26689
Central,Khajuraho,Religious,6,8,10302
North,Kullu,Wildlife,2,3,39062
South,Ooty,Beach,15,8,5058
South,Mysore,Trekking,15,4,45004
South,Pondicherry,Wildlife,10,8,19870
North,Agra,Hidden Gem,2,8,47216
South,Ooty,Hill Station,5,6,5619
South,Ooty,Wildlife,4,8,19838
Central,Bandhavgarh,Adventure,13,5,22821
Northeast,Shillong Peak,Urban/City,15,3,7051
East,Shillong,Beach,8,7,10868
Northeast,Majuli,Hidden Gem,6,3,49433
North,Manali,Religious,15,1,55201
Northeast,Kaziranga,Beach,12,9,33453
East,Puri,Historical,5,8,57930
East,Sundarbans,Adventure,6,12,35464
Northeast,Dzukou Valley,Beach,3,4,45028
South,Mysore,Religious,5,6,29984
West,Mumbai,Historical,2,5,5139
West,Dwarka,Desert,5,7,26279
Central,Sanchi,Wildlife,11,3,28602
South,Goa,Desert,6,4,3812
South,Ooty,Beach,7,11,19317
North,Leh,Trekking,2,5,17804
East,Sundarbans,Religious,3,3,16474
East,Gangtok,Trekking,13,7,39596
East,Konark,Beach,10,11,22378
Northeast,Dzukou Valley,Hidden Gem,4,12,31475
East,Kolkata,Adventure,13,9,22229
West,Udaipur,Wildlife,15,2,19577
Central,Bandhavgarh,Trekking,7,3,8459
Northeast,Aizawl,Historical,12,1,25029
North,Leh,Historical,4,2,15812
West,Gir National Park,Desert,3,5,47777
East,Puri,Hidden Gem,10,5,50532
Northeast,Aizawl,Beach,15,10,5788
Northeast,Imphal,Hidden Gem,12,10,45342
South,Hampi,Desert,5,6,56953
East,Konark,Hill Station,3,3,26104
North,Nainital,Hidden Gem,7,4,6762
South,Ooty,Hidden Gem,14,7,49505
Northeast,Aizawl,Historical,5,10,50311
Central,Pachmarhi,Hidden Gem,10,1,51026
South,Coorg,Adventure,11,2,24457
West,Mumbai,Hidden Gem,15,10,22761
South,Mysore,Beach,9,5,20254
Central,Sanchi,Hidden Gem,7,3,37404
East,Shillong,Adventure,3,2,21745
North,Rishikesh,Hidden Gem,11,5,37195
East,Shillong,Hill Station,15,4,13035
South,Hampi,Trekking,14,11,51263
South,Mysore,Adventure,2,5,46376
East,Gangtok,Beach,4,4,31980
Northeast,Tawang,Hidden Gem,6,2,51795
South,Coorg,Hill Station,8,3,53219
Northeast,Aizawl,Adventure,3,9,39551
Northeast,Tawang,Historical,2,7,56874
West,Udaipur,Religious,11,8,8692
West,Ahmedabad,Trekking,9,10,13415
West,Gir National Park,Wildlife,2,3,59058
West,Rann of Kutch,Beach,14,4,5735
South,Munnar,Desert,4,10,11293
East,Puri,Urban/City,14,10,53597
North,Varanasi,Beach,4,5,9028
East,Bodh Gaya,Religious,2,1,50422
Central,Bandhavgarh,Trekking,10,3,22729
Northeast,Dzukou Valley,Beach,6,1,15314
Central,Gwalior,Adventure,11,6,12731
North,Varanasi,Urban/City,15,2,36707
East,Konark,Desert,15,7,54690
South,Ooty,Adventure,14,10,15727
Northeast,Tawang,Adventure,9,2,12765
East,Gangtok,Religious,6,8,15233
East,Darjeeling,Desert,3,6,44979
South,Mysore,Hill Station,5,4,33591
North,Manali,Trekking,12,11,21969
East,Kolkata,Hill Station,15,3,45557
South,Alleppey,Trekking,12,6,15587
Central,Gwalior,Desert,11,2,40379
Central,Gwalior,Historical,3,4,16531
West,Jaisalmer,Trekking,10,5,17676
Central,Bandhavgarh,Historical,4,11,55921
East,Shillong,Historical,3,8,58145
North,Jaipur,Hidden Gem,15,12,26473
South,Mysore,Hill Station,10,3,51584
North,Manali,Wildlife,15,5,28360
Central,Sanchi,Hidden Gem,10,5,7797
East,Sundarbans,Historical,14,6,31620
North,Rishikesh,Adventure,3,5,42732
North,Jaipur,Historical,9,11,55924
North,Leh,Hidden Gem,14,4,19225
Northeast,Ziro Valley,Religious,6,12,22632
South,Hampi,Trekking,6,2,4064
North,Leh,Urban/City,9,8,17371
Central,Pachmarhi,Hill Station,3,9,50108
North,Agra,Trekking,11,5,20441
Northeast,Majuli,Urban/City,12,11,58680
East,Shillong,Hidden Gem,8,4,36945
Central,Bandhavgarh,Hill Station,12,1,9781
East,Shillong,Wildlife,4,7,53146
North,Nainital,Religious,3,1,5171
Northeast,Dzukou Valley,Beach,12,1,46138
East,Shillong,Trekking,6,3,20799
Northeast,Cherrapunji,Historical,4,9,21625
Northeast,Imphal,Trekking,12,12,34117
East,Guwahati,Religious,15,1,56254
Northeast,Aizawl,Religious,14,2,4816
North,Dalhousie,Wildlife,11,3,38111
West,Gir National Park,Religious,8,9,16232
Central,Sanchi,Historical,5,11,44447
Central,Indore,Desert,10,5,22640
West,Dwarka,Religious,8,3,55130
Northeast,Ziro Valley,Trekking,9,4,7885
North,Nainital,Beach,10,6,34297
West,Dwarka,Religious,13,12,14473
West,Udaipur,Urban/City,6,2,22487
East,Konark,Beach,3,4,44698
Central,Khajuraho,Desert,13,4,59815
East,Darjeeling,Hidden Gem,15,10,13351
North,Jaipur,Wildlife,4,2,52213
South,Alleppey,Trekking,3,6,52655
East,Konark,Historical,8,6,37754
West,Ahmedabad,Hill Station,5,7,41712
East,Shillong,Hidden Gem,8,9,30921
North,Dalhousie,Beach,10,3,49310
North,Jaipur,Desert,9,11,22677
North,Jaipur,Desert,5,10,46843
Northeast,Aizawl,Trekking,12,7,5958
Northeast,Dzukou Valley,Urban/City,15,12,18328
East,Bodh Gaya,Beach,15,12,42819
East,Konark,Hidden Gem,13,2,56121
West,Rann of Kutch,Hidden Gem,8,11,19907
Central,Khajuraho,Adventure,8,10,23681
Central,Indore,Wildlife,6,5,42443
West,Jaisalmer,Wildlife,15,5,31519
South,Munnar,Desert,6,12,33679
East,Darjeeling,Adventure,13,10,46458
North,Nainital,Hill Station,11,8,28139
Central,Indore,Wildlife,3,4,20225
Northeast,Majuli,Religious,2,8,17235
North,Varanasi,Urban/City,9,10,34436
Northeast,Kaziranga,Desert,3,11,59406
North,Shimla,Hill Station,5,10,12211
West,Gir National Park,Trekking,15,7,4240
Northeast,Imphal,Adventure,14,9,38816
East,Konark,Urban/City,5,2,44672
Central,Khajuraho,Hidden Gem,5,8,38331
South,Kodaikanal,Wildlife,9,6,45396
Central,Kanha National Park,Adventure,13,12,12136
South,Goa,Urban/City,6,9,11461
Central,Khajuraho,Trekking,7,6,45659
Northeast,Shillong Peak,Wildlife,15,9,18889
West,Rann of Kutch,Historical,9,8,28105
West,Somnath,Adventure,9,2,50826
East,Bodh Gaya,Beach,7,12,26510
Northeast,Cherrapunji,Urban/City,13,10,12662
Northeast,Kaziranga,Religious,15,1,21792
East,Konark,Religious,15,8,3393
West,Jaisalmer,Wildlife,10,7,23370
East,Kolkata,Historical,9,5,16354
Northeast,Kaziranga,Wildlife,4,4,42502
North,Dalhousie,Trekking,4,4,33181
South,Pondicherry,Religious,7,1,3753
Northeast,Shillong Peak,Adventure,4,10,7584
South,Hampi,Adventure,3,11,47234
South,Kochi,Beach,11,11,3565
West,Udaipur,Trekking,7,2,25507
North,Varanasi,Historical,3,6,21662
South,Alleppey,Hill Station,2,12,30884
North,Varanasi,Wildlife,13,10,28548
East,Sundarbans,Trekking,8,10,59414
North,Leh,Urban/City,15,11,44107
Northeast,Kaziranga,Hidden Gem,11,3,42933
Central,Bandhavgarh,Wildlife,11,6,42549
Northeast,Majuli,Desert,13,6,40579
North,Varanasi,Wildlife,8,1,24004
East,Gangtok,Adventure,3,11,50774
North,Manali,Wildlife,3,4,5893
North,Kullu,Desert,4,3,26311
South,Mysore,Urban/City,3,3,28419
West,Rann of Kutch,Beach,5,5,25361
West,Dwarka,Hill Station,13,1,15732
Northeast,Ziro Valley,Historical,4,4,14995
Northeast,Cherrapunji,Religious,14,7,23006
North,Kullu,Wildlife,13,2,15537
North,Manali,Wildlife,14,6,11851
East,Konark,Historical,2,3,29995
Northeast,Aizawl,Religious,13,5,49065
Northeast,Tawang,Wildlife,8,11,10399
Central,Gwalior,Urban/City,4,12,56138
West,Mumbai,Historical,10,7,52628
East,Shillong,Hill Station,5,9,21876
Central,Gwalior,Beach,10,10,49082
Central,Sanchi,Hill Station,7,4,48979
Central,Kanha National Park,Wildlife,3,1,59533
Northeast,Ziro Valley,Historical,3,2,15075
East,Konark,Urban/City,9,8,24841
North,Varanasi,Hidden Gem,7,3,52660
North,Varanasi,Desert,11,6,31996
Northeast,Shillong Peak,Adventure,5,12,54719
West,Rann of Kutch,Desert,7,12,30983
North,Shimla,Beach,3,4,49559
West,Dwarka,Wildlife,2,12,15433
Central,Gwalior,Religious,15,12,46768
East,Puri,Desert,8,3,57898
South,Munnar,Urban/City,14,4,25265
Northeast,Dzukou Valley,Urban/City,12,11,40917
West,Rann of Kutch,Desert,15,5,8483
Central,Kanha National Park,Trekking,15,12,56810
Northeast,Shillong Peak,Desert,4,10,21359
South,Kodaikanal,Desert,14,9,53262
Central,Bhopal,Religious,9,12,10375
South,Coorg,Desert,4,2,46154
Central,Indore,Hidden Gem,2,12,43597
Central,Indore,Religious,14,8,46352
South,Coorg,Urban/City,10,7,45822
East,Bodh Gaya,Historical,10,8,42234
East,Puri,Hill Station,3,2,35850
North,Nainital,Religious,11,5,31194
East,Guwahati,Hidden Gem,14,8,19596
West,Jaisalmer,Wildlife,10,4,49421
North,Jaipur,Hill Station,9,9,32902
North,Jaipur,Desert,5,11,31622
West,Udaipur,Hill Station,12,4,51244
Northeast,Tawang,Hill Station,13,7,5086
North,Shimla,Trekking,12,10,34978
West,Somnath,Hidden Gem,13,5,11069
Northeast,Shillong Peak,Trekking,13,8,4680
East,Sundarbans,Religious,7,10,46600
West,Ahmedabad,Religious,7,8,51994
Northeast,Kaziranga,Beach,8,5,14476
East,Shillong,Desert,2,2,31065
East,Gangtok,Beach,15,2,37694
South,Goa,Historical,10,4,58981
South,Munnar,Desert,3,4,13564
Northeast,Tawang,Hill Station,9,3,40696
North,Dalhousie,Trekking,3,10,54639
East,Shillong,Trekking,4,1,59681
East,Guwahati,Hidden Gem,14,2,5381
Central,Kanha National Park,Beach,9,10,11073
Central,Bandhavgarh,Beach,14,6,30843
South,Kochi,Urban/City,6,1,30068
North,Jaipur,Wildlife,11,8,23697
West,Rann of Kutch,Desert,7,4,55449
West,Jaisalmer,Hidden Gem,6,1,3508
West,Gir National Park,Hill Station,6,4,14441
South,Kodaikanal,Adventure,11,7,46084
Central,Kanha National Park,Beach,8,12,18719
East,Konark,Trekking,4,8,40036
East,Sundarbans,Beach,3,5,36001
West,Udaipur,Religious,2,6,8442
East,Kolkata,Hidden Gem,8,1,40791
North,Dalhousie,Beach,12,3,30377
Northeast,Ziro Valley,Historical,4,11,43167
Northeast,Kaziranga,Hidden Gem,8,10,17407
North,Varanasi,Religious,4,3,55567
North,Shimla,Hill Station,3,11,39393
Central,Sanchi,Desert,14,8,46355
West,Dwarka,Wildlife,11,2,59411
North,Kullu,Wildlife,7,6,53016
South,Hampi,Hidden Gem,12,1,39118
South,Hampi,Urban/City,3,1,49055
East,Gangtok,Urban/City,3,3,45599
South,Kodaikanal,Historical,8,10,23644
South,Alleppey,Historical,8,2,49988
South,Coorg,Trekking,4,8,40979
Northeast,Shillong Peak,Historical,12,11,43458
North,Varanasi,Hidden Gem,15,2,13486
East,Shillong,Hidden Gem,12,2,59048
North,Kullu,Hidden Gem,15,10,17904
Northeast,Dzukou Valley,Hidden Gem,8,3,8365
West,Mumbai,Hill Station,4,8,17111
South,Hampi,Urban/City,12,2,33396
Northeast,Ziro Valley,Religious,3,3,33198
Northeast,Aizawl,Desert,5,10,50208
East,Gangtok,Hill Station,13,5,36457
South,Goa,Urban/City,15,4,16022
North,Jaipur,Trekking,12,12,6655
Northeast,Dzukou Valley,Hill Station,13,3,5275
South,Mysore,Wildlife,5,5,9757
East,Puri,Desert,15,8,50805
Northeast,Tawang,Hidden Gem,13,3,29377
North,Nainital,Trekking,14,2,58024
East,Bodh Gaya,Hidden Gem,5,11,33566
North,Nainital,Hidden Gem,11,3,23848
East,Bodh Gaya,Trekking,11,10,29291
East,Puri,Historical,9,6,21368
West,Udaipur,Wildlife,15,1,23984
West,Dwarka,Trekking,10,9,45452
Central,Gwalior,Beach,5,5,7968
Central,Bandhavgarh,Adventure,14,12,58715
Northeast,Shillong Peak,Beach,14,10,29954
West,Mount Abu,Urban/City,7,5,13502
East,Darjeeling,Desert,6,10,34339
North,Varanasi,Hill Station,12,5,43730
East,Guwahati,Urban/City,3,12,17988
West,Dwarka,Beach,7,5,13346
West,Mount Abu,Hidden Gem,14,8,30974
North,Kullu,Historical,13,12,39474
North,Agra,Historical,14,1,30624
North,Shimla,Hidden Gem,6,11,34820
Central,Kanha National Park,Desert,3,12,11130
East,Puri,Adventure,7,7,10853
Central,Kanha National Park,Historical,8,2,35992
Central,Bandhavgarh,Desert,15,2,24270
West,Mumbai,Desert,6,4,51142
East,Sundarbans,Hill Station,12,3,46071
South,Alleppey,Beach,2,1,19618
South,Mysore,Beach,14,2,26195
East,Puri,Religious,6,11,14407
East,Sundarbans,Hill Station,4,9,51268
Northeast,Ziro Valley,Trekking,11,2,47570
North,Leh,Hill Station,9,4,39098
West,Dwarka,Desert,12,4,17342
Central,Khajuraho,Desert,3,11,34392
South,Ooty,Wildlife,10,4,37469
East,Darjeeling,Historical,12,8,16745
Central,Sanchi,Desert,6,1,34832
North,Shimla,Urban/City,9,4,12321
Central,Khajuraho,Historical,12,11,42962
Northeast,Cherrapunji,Beach,5,5,13131
West,Gir National Park,Beach,6,4,9763
Central,Khajuraho,Historical,10,5,19188
Northeast,Aizawl,Adventure,13,4,52761
Central,Bhopal,Beach,13,12,28085
Central,Bandhavgarh,Historical,4,1,13894
East,Darjeeling,Hill Station,3,7,49773
Central,Gwalior,Urban/City,13,3,25928
West,Dwarka,Religious,10,7,58047
South,Hampi,Wildlife,10,6,31325
Central,Bhopal,Desert,12,9,36186
West,Jaisalmer,Hill Station,14,12,16964
West,Rann of Kutch,Wildlife,9,5,40185
Northeast,Imphal,Trekking,4,5,58988
Northeast,Cherrapunji,Trekking,7,4,20959
Central,Indore,Wildlife,2,5,28230
South,Munnar,Adventure,10,3,34765
North,Agra,Adventure,11,12,46393
North,Manali,Urban/City,5,7,15621
North,Agra,Desert,15,7,13218
Central,Kanha National Park,Hidden Gem,10,12,45580
